json_file_path,top_entities
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L16_V030\020.json,"Person, Man, Clothing, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L16_V030\021.json,"Person, Man, Clothing, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L16_V030\029.json,"Person, Clothing, Man, Footwear, Human face, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L12_V005\330.json,"Person, Poster, Clothing, Human face, Man, Woman, Toy, Tree, Mammal, Girl, Fruit, Plant, Bowling equipment, Vegetable"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V016\091.json,"Person, Clothing, Footwear, Man, Woman, Jeans, Girl, Human face, Sports uniform, Microphone, Boy, Bottle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L16_V017\321.json,"Building, Person, Man, Clothing, Car, Land vehicle, Woman, Vehicle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V018\192.json,"Man, Person, Clothing, Woman, Footwear, Human hair, Boy, Human head, Land vehicle, Human face, Wheel, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V012\234.json,"Clothing, Man, Person, Woman, Dress, Human face, Footwear, Girl"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\307.json,"Human face, Clothing, Woman, Television, Girl, Human arm, Person, Human hair, Dress, Computer monitor, Human hand, Human head, Human eye, Toy, Human nose, Fashion accessory, Poster, Sports uniform, Picture frame, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V002\310.json,"Football, Man, Shirt, Clothing, Boy, Human face, Skyscraper, Sports uniform, Person, Tower, Glasses, Poster, Human hair, Human head, Human arm, Sports equipment, Tree, Human hand, Volleyball, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V020\258.json,"Man, Clothing, Person, Shirt, Human face, Woman, Skyscraper, Tower, Glasses, Girl, Footwear, Dress, Human head, Human arm, Human hand, Human hair, Mammal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V028\231.json,"Vehicle, Chair, Land vehicle, Train, Bus, Furniture, Building, Boat, Table, Watercraft, Window, Car, Person, Wheel, House, Tree, Tire, Airplane"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L20_V006\319.json,"Man, Human face, Clothing, Woman, Boy, Girl, Person, Human head, Human hair"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\314.json,"Person, Man, Clothing, Mammal, Bird, Animal, Billboard, Flower, Ball, Street light, Sports equipment, Sports uniform, Television, Woman, Furniture, Scoreboard, Toy, Window, Human body, Swimming pool"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L16_V030\023.json,"Person, Man, Clothing, Boy, Footwear, Human face, Woman, Girl"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V026\288.json,"Man, Human face, Clothing, Person, Skyscraper, Shirt, Tower, Human hair, Mammal, Human hand, Shorts, Human head, Bird, Human arm, Trousers, Flower, Poster, Animal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L09_V012\253.json,"Person, Street light, Footwear, Man, Clothing, Sports equipment, Horse, Baseball glove, Shorts, Tree, Helmet, Human arm, Boy, Cattle, Mammal, Animal, Football helmet, Plant, Land vehicle, Human leg"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L03_V021\202.json,"Human face, Woman, Man, Clothing, Person, Girl, Boy, Footwear, Dress, Human arm, Sports uniform, Human hair, Human head, Human hand, Poster, Human body, Human eye, Human leg, Mammal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V025\274.json,"Clothing, Man, Person, Human face, Footwear, Sports equipment, Skyscraper, Tower, Woman, Boy, Shirt, Human arm, Human head, Glasses, Girl, Mammal, Building"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V018\196.json,"Human face, Glasses, Woman, Sports uniform, Clothing, Man, Human nose, Person, Human head, Human eye, Human hair, Human ear, Girl, Human mouth, Flag, Building, Luggage and bags, Goggles, Sunglasses, Human body"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L12_V011\343.json,"Shirt, Human face, Man, Clothing, Person, Skyscraper, Billboard, Poster, Tower, Human hand, Human hair, Human head, Rocket, Flag, Fashion accessory, Human arm, Building, Fruit, Vehicle, Land vehicle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V026\266.json,"Person, Clothing, Man, Tree, Human face, Human head, Poster, Toy, Penguin, Flower, Mammal, Plant, Window, Human hair"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\316.json,"Person, Clothing, Toy, Man, Vehicle, Mammal, Plant, Land vehicle, Human head, Woman"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\265.json,"Man, Clothing, Person, Human face, Woman, Mammal, Footwear, Boy, Jeans, Trousers"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L15_V020\245.json,"Human face, Woman, Clothing, Toy, Girl, Dress, Person, Television, Car, Human head, Poster, Human arm, Man, Vehicle, Human hair, Sculpture, Human body, Mammal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L20_V006\196.json,"Dress, Woman, Person, Television, Human face, Clothing, Girl, Toy, Food, Human head, Human hair, Flower, Snack, Doll, Door, Human arm, Poster, Computer monitor, Billboard, Land vehicle"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\317.json,"Person, Man, Sports uniform, Clothing, Mammal, Human head, Sports equipment"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\263.json,"Man, Clothing, Woman, Human face, Person, Shirt, Glasses, Suit, Footwear, Boy, Human head, Human hair"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V025\273.json,"Clothing, Man, Person, Human face, Footwear, Skyscraper, Boy, Sports equipment, Tower, Shirt, Woman, Human head"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V020\296.json,"Clothing, Flag, Man, Human face, Person, Skyscraper, Shirt, Woman, Poster, Tower, Glasses, Toy, Billboard, Girl, Human head, Human hair, Human arm, Human hand, Human body, Rocket"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L12_V021\320.json,"Football, Human face, Clothing, Man, Woman, Girl, Person, Dress, Human arm, Human head, Human hand, Human hair, Sports uniform, Human eye, Footwear, Food, Doll, Human body, Mammal, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V015\300.json,"Christmas tree, Person, Toy, Clothing, Footwear, Trousers, Tree, Mammal, Man, Bird, Human head, Human leg, Human face, Flower"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L21_V031\207.json,"Man, Clothing, Human face, Person, Vehicle, Human head, Woman, Human hair, Helmet, Human nose, Human arm, Airplane, Human body, Boy, Girl, Mammal, Land vehicle, Boat, Hat, Car"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L19_V031\174.json,"Person, Street light, Man, Building, Clothing, Poster"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V021\242.json,"Building, Person, Mammal, Clothing, Man, Chair, Billboard, Stairs, House, Street light, Furniture, Plant, Tree, Table, Woman, Footwear, Poster, Human arm, Car, Flag"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\262.json,"Man, Human face, Clothing, Shirt, Woman, Glasses, Person, Human hair, Sports uniform, Human head, Suit, Human arm, Girl"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L06_V017\270.json,"Person, Cattle, Man, Horse, Clothing, Bull, Animal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V019\265.json,"Person, Clothing, Human face, Woman, Man, Poster, Toy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V028\316.json,"Man, Footwear, Person, Mammal, Clothing, Sports uniform, Human body, Toy, Woman, Human leg, Sculpture, Poster, Sports equipment, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L18_V006\403.json,"Clothing, Man, Human face, Person, Skyscraper, Shirt, Footwear, Tower, Sports uniform, Boy, Human head, Sports equipment, Woman, Human hair, Human arm"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L17_V018\190.json,"Human face, Woman, Clothing, Person, Girl, Television, Man, Footwear, Sports equipment, Jacket, Human hair, Human head, Human hand, Human arm, Shirt, Poster, Toy, Human body, Football, Dress"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L07_V021\241.json,"Stairs, Building, Piano, Musical keyboard, Furniture, Organ, Porch, Chair, Musical instrument, Train, Human face, Bench, House, Vehicle, Land vehicle, Plant, Person, Harpsichord, Clothing, Table"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L22_V002\172.json,"Building, Person, Table, Window, Clothing, Woman, Man, Houseplant, Plant, Furniture, Coffee table, Girl, Human face, Human head, Flowerpot, Food, Human body, Toy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V023\320.json,"Clothing, Person, Man, Human face, Shirt, Football, Skyscraper, Television, Tower, Human hand, Human hair, Human head, Poster, Trousers, Bowling equipment, Ball, Sports equipment, Volleyball, Woman, Building"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V023\232.json,"Human face, Person, Girl, Clothing, Woman, Television, Man, Dress, Human arm, Fashion accessory, Human hair, Human head, Sports uniform, Human hand, Mammal, Poster, Boy, Human body, Toy, Shirt"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L13_V018\268.json,"Human face, Clothing, Woman, Sports uniform, Man, Person, Girl, Sports equipment, Ball, Boy, Human head, Human hair, Poster, Fashion accessory, Human arm, Golf ball, Human nose, Human eye, Dress, Shirt"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L05_V017\232.json,"Man, Clothing, Skyscraper, Person, Human face, Shirt, Swimming pool, Trousers, Building, Tower, Glasses, Suit, Poster, Human hair, Human head, Shelf, Television, Human leg, Tree, Human arm"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L02_V017\176.json,"Human face, Man, Clothing, Boy, Person, Woman, Human hair, Human head, Sports uniform, Human arm, Human body, Girl, Poster, Mammal"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L11_V020\315.json,"Person, Man, Clothing, Toy, Mammal, Sports equipment, Sports uniform, Bicycle, Football helmet, Woman, Boy"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L09_V016\297.json,"Clothing, Human face, Man, Person, Shirt, Skyscraper, Human hair, Tower, Human arm, Human head, Billboard, Suit, Book, Human hand, Human eye, Poster, Building, Tie, Trousers, Flag"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L10_V012\224.json,"Person, Human face, Man, Clothing, Building, Human hair, Woman, Door, Human head, Human body, Picture frame, Poster, Window, Sculpture"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch1\object\L12_V021\331.json,"Building, Person, Clothing, Poster, Man, Billboard, Ball, Footwear, Animal, Window, Vehicle, Human body, Mammal, Watercraft, Land vehicle, Swimming pool, Sports equipment, Tree, Furniture, Television"
D:\AIC 2024\chatKPT-2024-AIC-HCMC\data\batch2\object\L14_V026\228.json,"Human face, Television, Woman, Clothing, Person, Toy, Girl, Human hair, Dress, Man, Human head, Human arm, Fashion accessory, Footwear, Poster, Human eye, Human nose, Jacket, Sculpture, Human body"
